timestamp,node,raw_line
06:23:48.770,S1,[RX] POLL:1 | RSSI: -62 dBm | SNR: 8.75 dB | RX#: 21
06:23:48.770,S1,[TX] S1:DATA:21
06:23:48.807,S2,[IGNORE] S1:DATA:21
06:23:48.808,MASTER,[RX] S1:DATA:21 | RSSI: -56 dBm | SNR: 9.25 dB
06:23:48.809,MASTER,[TX] POLL:2
06:23:48.839,S1,[IGNORE] POLL:2
06:23:48.844,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 9.00 dB | RX#: 22
06:23:48.844,S2,[TX] S2:DATA:22
06:23:48.880,S1,[IGNORE] S2:DATA:22
06:23:48.882,MASTER,[RX] S2:DATA:22 | RSSI: -39 dBm | SNR: 5.25 dB
06:23:48.882,MASTER,--- STATISTIK ---
06:23:48.886,MASTER,S1: OK=21 | FAIL=1 | Data: 21
06:23:48.890,MASTER,S2: OK=22 | FAIL=0 | Data: 22
06:23:48.890,MASTER,Durasi siklus: 148 ms
06:23:48.894,MASTER,========================================
06:23:49.394,MASTER,========================================
06:23:49.395,MASTER,=== CYCLE 23 ===
06:23:49.395,MASTER,[TX] POLL:1
06:23:49.426,S2,[IGNORE] POLL:1
06:23:49.434,S1,[RX] POLL:1 | RSSI: -62 dBm | SNR: 8.75 dB | RX#: 22
06:23:49.434,S1,[TX] S1:DATA:22
06:23:49.462,S2,[IGNORE] S1:DATA:22
06:23:49.468,MASTER,[RX] S1:DATA:22 | RSSI: -56 dBm | SNR: 9.25 dB
06:23:49.468,MASTER,[TX] POLL:2
06:23:49.498,S1,[IGNORE] POLL:2
06:23:49.503,S2,[RX] POLL:2 | RSSI: -34 dBm | SNR: 9.25 dB | RX#: 23
06:23:49.504,S2,[TX] S2:DATA:23
06:23:49.539,S1,[IGNORE] S2:DATA:23
06:23:49.542,MASTER,[RX] S2:DATA:23 | RSSI: -51 dBm | SNR: 6.00 dB
06:23:49.542,MASTER,--- STATISTIK ---
06:23:49.546,MASTER,S1: OK=22 | FAIL=1 | Data: 22
06:23:49.546,MASTER,S2: OK=23 | FAIL=0 | Data: 23
06:23:49.550,MASTER,Durasi siklus: 149 ms
06:23:49.554,MASTER,========================================
06:23:50.050,MASTER,========================================
06:23:50.054,MASTER,=== CYCLE 24 ===
06:23:50.055,MASTER,[TX] POLL:1
06:23:50.081,S2,[IGNORE] POLL:1
06:23:50.085,S1,[RX] POLL:1 | RSSI: -62 dBm | SNR: 9.00 dB | RX#: 23
06:23:50.088,S1,[TX] S1:DATA:23
06:23:50.122,S2,[IGNORE] S1:DATA:23
06:23:50.127,MASTER,[RX] S1:DATA:23 | RSSI: -56 dBm | SNR: 9.25 dB
06:23:50.127,MASTER,[TX] POLL:2
06:23:50.158,S1,[IGNORE] POLL:2
06:23:50.159,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 8.75 dB | RX#: 24
06:23:50.162,S2,[TX] S2:DATA:24
06:23:50.198,S1,[IGNORE] S2:DATA:24
06:23:50.201,MASTER,[RX] S2:DATA:24 | RSSI: -51 dBm | SNR: 5.75 dB
06:23:50.201,MASTER,--- STATISTIK ---
06:23:50.205,MASTER,S1: OK=23 | FAIL=1 | Data: 23
06:23:50.205,MASTER,S2: OK=24 | FAIL=0 | Data: 24
06:23:50.209,MASTER,Durasi siklus: 148 ms
06:23:50.213,MASTER,========================================
06:23:50.709,MASTER,========================================
06:23:50.713,MASTER,=== CYCLE 25 ===
06:23:50.713,MASTER,[TX] POLL:1
06:23:50.740,S2,[IGNORE] POLL:1
06:23:50.744,S1,[RX] POLL:1 | RSSI: -62 dBm | SNR: 9.00 dB | RX#: 24
06:23:50.747,S1,[TX] S1:DATA:24
06:23:50.781,S2,[IGNORE] S1:DATA:24
06:23:50.783,MASTER,[RX] S1:DATA:24 | RSSI: -56 dBm | SNR: 9.50 dB
06:23:50.786,MASTER,[TX] POLL:2
06:23:50.817,S1,[IGNORE] POLL:2
06:23:50.818,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 8.75 dB | RX#: 25
06:23:50.818,S2,[TX] S2:DATA:25
06:23:50.854,S1,[IGNORE] S2:DATA:25
